瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),嚼档(%),老炼(hr),老荤(MJ/m2),利汲(cm),傈款樊(10盒困),款屈(款屈距绢),矫沥(10m),瘤搁惑怕(瘤搁惑怕内靛),瘤搁柯档(∑C)
165,格器,2018-01-01 01:00,2.3,,89,,,,,,1341,,2.6
165,格器,2018-01-01 02:00,1.9,,79,,,,,,1755,,2
165,格器,2018-01-01 03:00,1.6,,82,,,,5,Sc,1807,,2.1
165,格器,2018-01-01 04:00,1.4,,78,,,,7,Sc,1968,,1.9
165,格器,2018-01-01 05:00,1.1,,76,,,,2,Sc,1974,,.7
165,格器,2018-01-01 06:00,.8,,72,,,,2,Sc,2000,,.6
165,格器,2018-01-01 07:00,.6,,73,,,,9,Sc,2000,,1.1
165,格器,2018-01-01 08:00,.1,,69,0,.01,,3,Sc,2000,,.8
165,格器,2018-01-01 09:00,1.3,,69,.6,.25,,4,Sc,2000,,1.8
165,格器,2018-01-01 10:00,3.1,,60,1,.74,,3,Sc,1929,,3
165,格器,2018-01-01 11:00,4.1,,59,1,1.18,,0,,1925,,3.9
165,格器,2018-01-01 12:00,4.8,,56,1,1.5,,0,,2000,,5.6
165,格器,2018-01-01 13:00,5.3,,56,1,1.61,,0,,1940,,7.8
165,格器,2018-01-01 14:00,5.6,,59,1,1.55,,0,,1996,,7.7
165,格器,2018-01-01 15:00,5.7,,59,1,1.28,,0,,1998,,6.6
165,格器,2018-01-01 16:00,5.7,,58,1,.88,,0,,1984,,5.7
165,格器,2018-01-01 17:00,4.9,,59,1,.39,,0,,2000,,4.3
165,格器,2018-01-01 18:00,4,,67,.2,.04,,0,,1993,,3
165,格器,2018-01-01 19:00,2.8,,72,,,,,,1990,,2.1
165,格器,2018-01-01 20:00,1.8,,74,,,,,,1947,,1.5
165,格器,2018-01-01 21:00,1.2,,81,,,,0,,1739,,.9
165,格器,2018-01-01 22:00,.7,,86,,,,,,1693,,.6
165,格器,2018-01-01 23:00,.6,,84,,,,,,1630,,.6
165,格器,2018-01-02 00:00,.5,,96,,,,0,,1297,,.5
165,格器,2018-01-02 01:00,.3,,91,,,,,,1427,,.3
165,格器,2018-01-02 02:00,-.3,,84,,,,,,1641,,0
165,格器,2018-01-02 03:00,-.8,,86,,,,0,,1438,,-.1
165,格器,2018-01-02 04:00,-1.2,,94,,,,0,,1145,,-.3
165,格器,2018-01-02 05:00,-1.6,,88,,,,0,,1349,,-.4
165,格器,2018-01-02 06:00,-1.7,,98,,,,4,Ci,875,,-.5
165,格器,2018-01-02 07:00,-1.9,,95,,,,0,,1099,,-.7
165,格器,2018-01-02 08:00,-2.1,,98,0,.01,,0,,967,,-.7
165,格器,2018-01-02 09:00,-.8,,88,.4,.25,,0,,961,,0
165,格器,2018-01-02 10:00,1.4,,81,1,.72,,0,,1254,,1.1
165,格器,2018-01-02 11:00,3.5,,68,1,1.06,,0,,1124,,4
165,格器,2018-01-02 12:00,5.4,,67,1,1.31,,0,,1074,,6.6
165,格器,2018-01-02 13:00,6.3,,67,1,1.38,,0,,1229,,8.6
165,格器,2018-01-02 14:00,7.2,,68,1,1.36,,0,,1155,,8.8
165,格器,2018-01-02 15:00,7.7,,63,1,1.1,,3,Ci,1331,,7.7
165,格器,2018-01-02 16:00,7.3,,66,1,.73,,4,Ci,1212,,6.5
165,格器,2018-01-02 17:00,6.8,,72,.4,.26,,6,ScCi,1215,,5.6
165,格器,2018-01-02 18:00,6.6,,80,0,0,,10,ScAs,1058,,5.3
165,格器,2018-01-02 19:00,5.7,,96,,,,,,743,,5.1
165,格器,2018-01-02 20:00,4.6,,98,,,,,,579,,4.3
165,格器,2018-01-02 21:00,3.8,,83,,,,9,Sc,647,,3.1
165,格器,2018-01-02 22:00,2.8,,78,,,,,,735,,2.2
165,格器,2018-01-02 23:00,2.4,,67,,,,,,1547,,1.6
165,格器,2018-01-03 00:00,2.3,,67,,,,3,Ac,2000,,1.5
165,格器,2018-01-03 01:00,2.1,,74,,,,,,2000,,1.3
165,格器,2018-01-03 02:00,2.3,,73,,,,,,2000,,1.1
165,格器,2018-01-03 03:00,2.4,,75,,,,9,Ac,2000,,1.2
165,格器,2018-01-03 04:00,2,,79,,,,7,ScAc,2000,,1.1
165,格器,2018-01-03 05:00,1.3,,77,,,,8,Ac,2000,,.4
165,格器,2018-01-03 06:00,.6,,76,,,,7,Ac,2000,,0
165,格器,2018-01-03 07:00,.2,,78,,,,1,Sc,2000,,-.2
165,格器,2018-01-03 08:00,-.1,,82,0,.01,,2,Ac,2000,,-.3
165,格器,2018-01-03 09:00,0,,77,.8,.28,,5,Sc,1965,,1
165,格器,2018-01-03 10:00,.8,,74,1,.82,,5,Ci,1910,,2.8
165,格器,2018-01-03 11:00,1.2,,71,1,1.23,,3,ScCi,1963,,2.9
165,格器,2018-01-03 12:00,1.9,,67,1,1.53,,5,Sc,1913,,4.2
165,格器,2018-01-03 13:00,2.2,,69,1,1.52,,6,Sc,2000,,6.6
165,格器,2018-01-03 14:00,2.3,,65,1,1.39,,3,Sc,2000,,6.1
165,格器,2018-01-03 15:00,1.8,,69,.4,.74,,8,Sc,2000,,5.2
165,格器,2018-01-03 16:00,1.5,,68,.5,.6,,8,Sc,2000,,4.5
165,格器,2018-01-03 17:00,1,,71,.8,.33,,8,ScAcCi,2000,,2.4
165,格器,2018-01-03 18:00,.5,,73,0,.02,,6,ScAc,2000,,1.3
165,格器,2018-01-03 19:00,.5,,74,,,,,,2000,,1.2
165,格器,2018-01-03 20:00,.3,,78,,,,,,2000,,1.1
165,格器,2018-01-03 21:00,-.2,,80,,,,7,Sc,2000,,.9
165,格器,2018-01-03 22:00,0,,79,,,,,,2000,,1
165,格器,2018-01-03 23:00,.5,,77,,,,,,2000,,1.2
165,格器,2018-01-04 00:00,.6,,76,,,,7,Sc,2000,,1.2
165,格器,2018-01-04 01:00,.6,,74,,,,,,2000,,1.2
165,格器,2018-01-04 02:00,0,,78,,,,,,2000,,1.2
