瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),嚼档(%),老炼(hr),老荤(MJ/m2),利汲(cm),傈款樊(10盒困),款屈(款屈距绢),矫沥(10m),瘤搁惑怕(瘤搁惑怕内靛),瘤搁柯档(∑C)
165,格器,2020-01-01 01:00,-3.6,,66,,,,9,,2000,,-3
165,格器,2020-01-01 02:00,-4.4,,66,,,,6,,2000,,-4.1
165,格器,2020-01-01 03:00,-4.1,,65,,,,9,Sc,2000,,-3.8
165,格器,2020-01-01 04:00,-4,,63,,,,9,Sc,2000,,-3.7
165,格器,2020-01-01 05:00,-4.2,,63,,,,9,Sc,2000,,-3.1
165,格器,2020-01-01 06:00,-4.4,,63,,,,7,Sc,2000,,-4.7
165,格器,2020-01-01 07:00,-4.4,,64,,,,5,Sc,2000,,-4.8
165,格器,2020-01-01 08:00,-4.4,,67,0,.01,,2,Sc,2000,,-4.6
165,格器,2020-01-01 09:00,-2.5,,63,.9,.38,,5,Sc,1986,,-.6
165,格器,2020-01-01 10:00,-1,,60,.9,.92,,8,Sc,1993,,3.3
165,格器,2020-01-01 11:00,.5,,60,.3,1.07,,7,Sc,2000,,9
165,格器,2020-01-01 12:00,1.5,,62,.4,1.25,,9,Sc,2000,,6.4
165,格器,2020-01-01 13:00,2,,64,0,.95,,9,Sc,2000,,8
165,格器,2020-01-01 14:00,2.6,,62,0,.87,,9,Sc,2000,,7.3
165,格器,2020-01-01 15:00,3.2,,56,0,.79,,9,Sc,2000,,6.8
165,格器,2020-01-01 16:00,3.2,,57,0,.53,,8,Sc,2000,,5.2
165,格器,2020-01-01 17:00,2.9,,60,0,.26,,3,Sc,2000,,2.3
165,格器,2020-01-01 18:00,2.7,,62,0,.04,,0,,2000,,1.2
165,格器,2020-01-01 19:00,1.6,,66,,,,1,,2000,,.1
165,格器,2020-01-01 20:00,1.3,,64,,,,0,,2000,,-.5
165,格器,2020-01-01 21:00,1.1,,64,,,,0,,2000,,-1.1
165,格器,2020-01-01 22:00,1,,62,,,,0,,2000,,.1
165,格器,2020-01-01 23:00,.4,,63,,,,0,,2000,,-.3
165,格器,2020-01-02 00:00,.1,,66,,,,3,,2000,,-.7
165,格器,2020-01-02 01:00,-.2,,69,,,,5,,2000,,-1.2
165,格器,2020-01-02 02:00,-.5,,71,,,,9,,1970,,-1.3
165,格器,2020-01-02 03:00,-.5,,70,,,,6,Sc,1988,,-1.5
165,格器,2020-01-02 04:00,-.7,,67,,,,7,Sc,1995,,-1.8
165,格器,2020-01-02 05:00,-.8,,70,,,,4,Sc,1961,,-2.5
165,格器,2020-01-02 06:00,-.4,,69,,,,8,Sc,1923,,-.3
165,格器,2020-01-02 07:00,-.1,,72,,,,7,Sc,1857,,0
165,格器,2020-01-02 08:00,0,,73,0,.02,,9,Sc,1691,,-.1
165,格器,2020-01-02 09:00,.4,,74,0,.16,,9,Sc,1593,,1
165,格器,2020-01-02 10:00,2.1,,65,.7,.72,,8,ScAc,1800,,4.6
165,格器,2020-01-02 11:00,3,,65,.2,.87,,8,Ac,1499,,8.1
165,格器,2020-01-02 12:00,4.6,,59,.9,1.62,,0,,1839,,14.3
165,格器,2020-01-02 13:00,5.4,,59,1,1.82,,2,Ci,1773,,15
165,格器,2020-01-02 14:00,5.8,,58,1,1.72,,1,Sc,1499,,13.4
165,格器,2020-01-02 15:00,6,,61,1,1.38,,2,ScCi,1552,,12
165,格器,2020-01-02 16:00,5.8,,62,1,.92,,3,AcCi,1386,,8.1
165,格器,2020-01-02 17:00,5.1,,65,1,.4,,0,,1311,,5.1
165,格器,2020-01-02 18:00,4.5,,68,0,.06,,0,,1226,,3.3
165,格器,2020-01-02 19:00,3.8,,72,,,,0,,1150,,2.4
165,格器,2020-01-02 20:00,3.3,,76,,,,0,,1022,,1.3
165,格器,2020-01-02 21:00,2.7,,79,,,,0,,668,,.4
165,格器,2020-01-02 22:00,2.9,,78,,,,9,,929,,1.9
165,格器,2020-01-02 23:00,3.1,,78,,,,9,,859,,3
165,格器,2020-01-03 00:00,3.3,,79,,,,9,,835,,3.2
165,格器,2020-01-03 01:00,3.4,,77,,,,10,,873,,3.4
165,格器,2020-01-03 02:00,3.5,,77,,,,10,,802,,3.5
165,格器,2020-01-03 03:00,3.6,,78,,,,9,Sc,815,,3.6
165,格器,2020-01-03 04:00,3.7,,82,,,,8,Sc,719,,3.7
165,格器,2020-01-03 05:00,3.4,,83,,,,6,Sc,694,,3.1
165,格器,2020-01-03 06:00,3.1,,87,,,,6,Sc,583,,2
165,格器,2020-01-03 07:00,2.8,,83,,,,8,Sc,719,,.6
165,格器,2020-01-03 08:00,2.3,,89,0,.01,,1,Ci,453,,.3
165,格器,2020-01-03 09:00,2.6,,85,.6,.31,,2,Ci,619,,3
165,格器,2020-01-03 10:00,3.4,,72,1,.82,,4,Ci,835,,6.7
165,格器,2020-01-03 11:00,4.8,,67,1,1.37,,4,Ci,824,,13.5
165,格器,2020-01-03 12:00,5.7,,63,1,1.52,,7,Sc,871,,12
165,格器,2020-01-03 13:00,6.4,,57,.9,1.4,,3,Sc,1429,,13.9
165,格器,2020-01-03 14:00,6.5,,57,1,1.7,,2,Sc,1336,,13.9
165,格器,2020-01-03 15:00,6.3,,62,1,1.39,,5,Sc,1316,,12.2
165,格器,2020-01-03 16:00,6,,61,1,.9,,2,Sc,1283,,8.9
165,格器,2020-01-03 17:00,5.4,,65,.9,.43,,3,ScCi,1385,,5.6
165,格器,2020-01-03 18:00,4.8,,71,0,.05,,2,Sc,1085,,3.9
165,格器,2020-01-03 19:00,4,,77,,,,,,820,,2.8
165,格器,2020-01-03 20:00,3.7,,73,,,,1,,991,,2.6
165,格器,2020-01-03 21:00,3.1,,82,,,,0,,668,,1.6
165,格器,2020-01-03 22:00,2.4,,81,,,,0,,621,,.6
165,格器,2020-01-03 23:00,2.2,,81,,,,0,,643,,0
165,格器,2020-01-04 00:00,1.9,,87,,,,0,,517,,-.2
165,格器,2020-01-04 01:00,1.3,,87,,,,0,,552,,-.5
165,格器,2020-01-04 02:00,1,,82,,,,0,,717,,-.9
165,格器,2020-01-04 03:00,.5,,91,,,,0,,392,,-1.3
165,格器,2020-01-04 04:00,.3,,91,,,,6,Ci,377,,-1.5
165,格器,2020-01-04 05:00,-.3,,92,,,,9,Ci,368,,-1.3
165,格器,2020-01-04 06:00,-.2,,90,,,,9,Ci,430,,-.8
165,格器,2020-01-04 07:00,0,,90,,,,6,Ci,392,,-.9
165,格器,2020-01-04 08:00,.1,,89,0,.01,,7,Ci,448,,-.5
165,格器,2020-01-04 09:00,.8,,84,.1,.31,,7,ScCi,494,,1.6
165,格器,2020-01-04 10:00,2.2,,81,.8,.81,,5,Ci,595,,7.3
165,格器,2020-01-04 11:00,4.1,,71,1,1.39,,7,Ci,847,,13.3
165,格器,2020-01-04 12:00,4.9,,67,1,1.62,,2,Ci,1018,,16.7
165,格器,2020-01-04 13:00,5.8,,65,1,1.92,,3,Sc,1034,,17
165,格器,2020-01-04 14:00,6.7,,62,1,1.64,,4,Sc,1455,,15.4
165,格器,2020-01-04 15:00,6.8,,62,.9,1.27,,0,,1446,,14.4
165,格器,2020-01-04 16:00,6.7,,61,1,1.05,,3,Sc,1181,,9.7
