瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),嚼档(%),老炼(hr),老荤(MJ/m2),利汲(cm),傈款樊(10盒困),款屈(款屈距绢),矫沥(10m),瘤搁惑怕(瘤搁惑怕内靛),瘤搁柯档(∑C)
165,格器,2017-01-01 01:00,5,,93,,,,,,735,,3.2
165,格器,2017-01-01 02:00,4.1,,93,,,,,,788,,2.2
165,格器,2017-01-01 03:00,3.3,,94,,,,0,,800,,1.7
165,格器,2017-01-01 04:00,2.5,,95,,,,0,,706,,1.2
165,格器,2017-01-01 05:00,2.1,,97,,,,0,,665,,1
165,格器,2017-01-01 06:00,1.7,,98,,,,2,Sc,486,,1.2
165,格器,2017-01-01 07:00,2,,98,,,,7,Sc,615,,2.3
165,格器,2017-01-01 08:00,2.4,,98,0,0,,8,Sc,621,,3
165,格器,2017-01-01 09:00,3,,98,0,.11,,7,Sc,612,,4.7
165,格器,2017-01-01 10:00,4.4,,90,.2,.47,,6,Sc,712,,8.4
165,格器,2017-01-01 11:00,6,,83,.2,.78,,6,Sc,823,,11.3
165,格器,2017-01-01 12:00,9.3,,68,1,1.34,,2,Sc,1017,,10.5
165,格器,2017-01-01 13:00,9.6,,67,1,1.53,,0,,1925,,11.7
165,格器,2017-01-01 14:00,10.2,,66,1,1.46,,0,,1618,,12.1
165,格器,2017-01-01 15:00,10.8,,65,1,1.23,,0,,1955,,10.8
165,格器,2017-01-01 16:00,11.1,,66,1,.82,,0,,2000,,11.3
165,格器,2017-01-01 17:00,10.2,,69,1,.38,,0,,1959,,7.4
165,格器,2017-01-01 18:00,8.5,,77,.2,.04,,0,,1425,,4.9
165,格器,2017-01-01 19:00,7.6,,81,,,,,,1031,,4.2
165,格器,2017-01-01 20:00,6.7,,92,,,,,,1020,,3.7
165,格器,2017-01-01 21:00,6.4,,96,,,,0,,1101,,3.3
165,格器,2017-01-01 22:00,5.9,,98,,,,,,743,,2.8
165,格器,2017-01-01 23:00,5.1,,98,,,,,,567,,2.4
165,格器,2017-01-02 00:00,5.3,,92,,,,5,ScAc,849,,4.3
165,格器,2017-01-02 01:00,5.2,,98,,,,,,537,,4.7
165,格器,2017-01-02 02:00,5.3,,98,,,,10,StNs,475,,4.9
165,格器,2017-01-02 03:00,5.1,.1,98,,,,10,ScAs,345,,4.9
165,格器,2017-01-02 04:00,5.2,,98,,,,10,ScAs,390,,5
165,格器,2017-01-02 05:00,5.2,,98,,,,8,ScAc,616,,5.1
165,格器,2017-01-02 06:00,5.4,,92,,,,8,ScAc,663,,5
165,格器,2017-01-02 07:00,5.4,,90,,,,8,Sc,722,,5.1
165,格器,2017-01-02 08:00,5.6,,90,0,0,,10,ScAs,642,,4.8
165,格器,2017-01-02 09:00,5.9,,89,0,.13,,9,Ac,524,,5.9
165,格器,2017-01-02 10:00,7.7,,77,.9,.62,,3,Ci,766,,10.5
