"¿ù","ÀÏ"," 1h "," 2h "," 3h "," 4h "," 5h "," 6h "," 7h "," 8h "," 9h "," 10h "," 11h "," 12h "," 13h "," 14h "," 15h "," 16h "," 17h "," 18h "," 19h "," 20h "," 21h "," 22h "," 23h "," 24h "," °è "
"02","03","0","0","0","0","0","0","0","0","0","0","5.4","0","1.8","19.2","28.8","2.88","0","0","0","0","0","0","0","0","58"
"02","04","0","0","0","0","0","0","0","2.88","177.24","669.6","1029.24","1224","1299","1275.72","1180.44","833.52","360.84","57","0","0","0","0","0","0","8109"
"02","05","0","0","0","0","0","0","0","4.68","197.88","690.72","1044.48","1205.88","1276.08","1270.92","1166.52","878.88","278.04","57","0","0","0","0","0","0","8071"
"02","06","0","0","0","0","0","0","0","0.6","169.8","681.24","580.32","617.04","342","834.48","597.36","399.72","310.44","82.68","0","0","0","0","0","0","4616"
"02","07","0","0","0","0","0","0","0","0","0.84","34.92","248.88","330.96","733.92","485.4","351.84","664.68","551.64","139.08","0.6","0","0","0","0","0","3543"
"02","08","0","0","0","0","0","0","0","0.12","43.56","264.72","447","980.88","1257","1235.52","1125.72","776.04","451.68","60.96","0","0","0","0","0","0","6643"
"02","09","0","0","0","0","0","0","0","0","26.04","160.56","267.12","502.32","777.12","989.52","962.52","796.56","533.16","120.48","1.44","0","0","0","0","0","5137"
"02","10","0","0","0","0","0","0","0","8.04","115.56","237.6","743.28","431.4","762.12","1147.92","467.64","265.92","108.48","22.44","0","0","0","0","0","0","4310"
"02","11","0","0","0","0","0","0","0","0","17.88","155.64","412.68","524.76","778.08","662.64","310.32","422.88","488.28","69.24","1.44","0","0","0","0","0","3844"
"02","12","0","0","0","0","0","0","0","7.8","250.2","698.76","993.12","1172.76","1268.4","1247.4","1078.2","621.96","193.8","37.32","0.96","0","0","0","0","0","7571"
"02","13","0","0","0","0","0","0","0","7.68","205.8","621.84","984.48","1168.08","1226.52","1209.12","1119.72","888.84","496.44","100.2","2.4","0","0","0","0","0","8031"
"02","14","0","0","0","0","0","0","0","2.88","46.92","317.04","673.68","723.36","797.64","955.32","878.88","1022.4","686.52","202.08","2.16","0","0","0","0","0","6309"
"02","15","0","0","0","0","0","0","0","0.36","34.44","69.36","163.2","276.72","329.88","270.36","250.2","310.32","223.8","97.68","0","0","0","0","0","0","2026"
"02","16","0","0","0","0","0","0","0","0","58.44","345.24","565.2","525.36","817.68","742.56","416.52","360","114.72","30.6","0","0","0","0","0","0","3976"
"02","17","0","0","0","0","0","0","0","7.56","147.84","769.2","966.6","1298.88","1421.28","1418.04","1298.76","1073.28","666.6","228.12","4.08","0","0","0","0","0","9300"
"02","18","0","0","0","0","0","0","0","4.92","89.88","220.32","196.68","138.12","227.04","285.84","118.08","102.48","72.72","20.52","0","0","0","0","0","0","1477"
"02","19","0","0","0","0","0","0","0","0","0.6","27.12","76.8","99.24","120.24","127.08","228.96","189.12","85.68","24.36","0","0","0","0","0","0","979"
"02","20","0","0","0","0","0","0","0","1.44","48.12","101.64","273.6","718.8","853.56","799.92","832.2","858.84","466.2","144","4.2","0","0","0","0","0","5103"
"02","21","0","0","0","0","0","0","0","14.04","229.68","639.12","992.76","1216.08","1319.28","1245.72","976.2","607.68","312.84","95.28","3.6","0","0","0","0","0","7652"
"02","22","0","0","0","0","0","0","0","8.16","141.6","412.68","538.44","522.96","271.2","609.48","470.04","324.6","138.36","84.48","5.64","0","0","0","0","0","3528"
"02","23","0","0","0","0","0","0","0","20.16","276.84","682.56","1017.72","1104.36","1117.44","893.64","972.84","798.84","514.68","178.32","8.88","0","0","0","0","0","7586"
"02","24","0","0","0","0","0","0","0","24.6","327.72","724.08","978.36","1109.52","1262.04","1221.36","1165.92","980.88","647.64","250.44","9.48","0","0","0","0","0","8702"
"02","25","0","0","0","0","0","0","0","32.52","294.72","570.96","870.96","1083.6","1177.92","1147.32","1103.64","909.36","539.64","161.04","10.2","0","0","0","0","0","7902"
"02","26","0","0","0","0","0","0","0","29.16","308.4","698.64","984.12","1155.24","1274.64","1268.4","1156.68","837.36","581.88","135.48","6.36","0","0","0","0","0","8436"
"02","27","0","0","0","0","0","0","0","1.68","86.28","349.8","573.36","537.12","319.92","407.04","188.04","173.64","59.88","29.76","0","0","0","0","0","0","2727"
"02","28","0","0","0","0","0","0","0","25.8","288.96","598.08","808.32","1031.04","1195.92","1057.08","522","488.28","171.36","73.08","9.72","0","0","0","0","0","6270"
"03","01","0","0","0","0","0","0","0","3.96","162.72","512.88","975.96","1176.24","1217.28","1182.12","1151.16","856.56","416.16","130.08","8.76","0","0","0","0","0","7794"
"03","02","0","0","0","0","0","0","0","8.88","75.84","225","620.64","633.72","643.92","444.96","538.44","362.04","161.28","45.6","1.8","0","0","0","0","0","3762"
"03","03","0","0","0","0","0","0","0","9.12","89.88","161.16","350.64","446.88","383.88","320.16","240.6","138.6","149.04","53.88","5.16","0","0","0","0","0","2349"
"03","04","0","0","0","0","0","0","0","21","148.08","300.12","587.76","960.12","1097.4","1072.56","943.92","731.52","477.48","172.92","13.08","0","0","0","0","0","6526"
"03","05","0","0","0","0","0","0","0","9.96","77.28","172.8","515.04","521.88","445.68","408.96","341.16","191.28","96.12","24.24","0","0","0","0","0","0","2804"
"03","06","0","0","0","0","0","0","0","2.88","57.6","153.96","583.2","1056.48","1279.8","1007.16","861","897.36","556.92","237.6","15.84","0","0","0","0","0","6710"
"03","07","0","0","0","0","0","0","0","32.64","321.24","765","1113.96","1258.8","1405.08","1375.8","1236.96","1023.24","683.64","288.96","23.52","0","0","0","0","0","9529"
"03","08","0","0","0","0","0","0","0","70.08","298.32","861.12","1147.56","1302.36","1349.04","1324.92","1229.64","1050.96","750.24","336.84","31.08","0","0","0","0","0","9752"
"03","09","0","0","0","0","0","0","0","76.68","321.72","641.28","725.52","679.56","1073.52","613.8","331.68","280.56","183.36","53.88","3.72","0","0","0","0","0","4985"
"03","10","0","0","0","0","0","0","0","0","24.36","73.56","284.28","338.28","270","198.84","208.8","97.44","164.04","195","23.64","0","0","0","0","0","1878"
"03","11","0","0","0","0","0","0","0","53.76","277.68","596.04","846","554.88","897.72","538.44","225.72","290.52","88.44","0.12","0","0","0","0","0","0","4369"
"03","12","0","0","0","0","0","0","0","27.24","126.12","309.12","834.96","1100.76","1202.4","1163.16","1014.96","418.56","225","110.88","12.6","0","0","0","0","0","6546"
"03","13","0","0","0","0","0","0","0","105.12","462.72","835.68","991.8","941.88","1391.88","1341.96","1230","1004.16","673.68","256.68","19.08","0","0","0","0","0","9255"
"03","14","0","0","0","0","0","0","0","49.56","349.08","684.24","26.52","0","0","0","0","0","93.84","300.12","32.04","0","0","0","0","0","1535"
"03","15","0","0","0","0","0","0","0","46.8","184.68","395.88","799.68","454.44","1141.32","569.88","658.2","547.32","365.76","173.76","36.72","0","0","0","0","0","5374"
"03","16","0","0","0","0","0","0","0","45.36","253.44","702.96","1028.16","1211.16","1288.08","1253.28","1155.48","970.08","649.44","282","29.64","0","0","0","0","0","8869"
"03","17","0","0","0","0","0","0","0","91.56","448.56","819.84","1081.44","1266.24","1368.72","1356.12","1255.68","1049.88","735.96","339.12","31.8","0","0","0","0","0","9845"
"03","18","0","0","0","0","0","0","0","72.72","313.8","665.88","751.44","627.12","466.2","0","0","454.2","291.36","133.56","9.12","0","0","0","0","0","3785"
"03","19","0","0","0","0","0","0","0.24","95.28","362.52","740.76","973.08","1110.72","1152.48","1086","977.76","775.8","494.52","203.64","23.76","0","0","0","0","0","7997"
"03","20","0","0","0","0","0","0","0","35.28","148.56","250.56","243.12","192.24","179.76","60.12","99.12","55.68","30.48","0","0","0","0","0","0","0","1295"
"03","21","0","0","0","0","0","0","0","0.24","26.88","57","152.28","279.96","324.24","657.6","308.28","240.84","171.6","67.08","2.16","0","0","0","0","0","2288"
"03","22","0","0","0","0","0","0","0","43.8","199.68","348.12","643.44","106.92","1434.6","1419.84","1168.2","1093.8","768.36","360","46.44","0","0","0","0","0","7633"
"03","23","0","0","0","0","0","0","0.24","123.12","498.6","852.36","1093.2","1227.6","1285.44","793.8","285.36","364.92","536.76","351.24","55.56","0","0","0","0","0","7468"
"03","24","0","0","0","0","0","0","3","162.12","524.04","878.76","1086.36","1299","1392.6","1377.48","1269.48","1068.48","731.52","330.84","44.76","0","0","0","0","0","10168"
"03","25","0","0","0","0","0","0","1.08","87.6","262.32","358.68","600.48","881.16","929.04","885.72","790.56","699.36","475.56","192.12","32.88","0","0","0","0","0","6197"
"03","26","0","0","0","0","0","0","1.56","88.08","333.96","692.28","933.84","1181.88","1242.84","1236.48","1131.96","918.96","626.52","275.28","38.16","0","0","0","0","0","8702"
"03","27","0","0","0","0","0","0","3","103.2","375.84","720.12","938.04","1104.84","1088.52","1040.64","1118.88","767.4","541.32","172.2","24.6","0","0","0","0","0","7999"
"03","28","0","0","0","0","0","0","0","75.12","334.44","696.36","968.76","1016.52","1014","1009.56","860.28","611.64","379.2","178.32","20.88","0","0","0","0","0","7165"
"03","29","0","0","0","0","0","0","2.64","104.16","435.72","656.76","801.36","1140.96","193.32","872.88","878.76","835.68","537.48","193.32","33.6","0","0","0","0","0","6687"
"03","30","0","0","0","0","0","0","0.96","100.92","429.84","751.92","1005.96","1062.48","1023.12","1056.24","802.92","724.68","566.88","218.76","38.28","0","0","0","0","0","7783"
"03","31","0","0","0","0","0","0","2.88","127.44","539.64","761.16","1135.8","1236.96","1177.44","1037.28","823.68","685.44","756.24","336.72","54.48","0","0","0","0","0","8675"
"04","01","0","0","0","0","0","0","5.64","162","522.72","873.48","1135.32","1237.32","1343.88","1313.64","1178.88","949.32","615.72","249.6","37.44","0","0","0","0","0","9625"
